id,domain,objective,applies_to,minimum_evidence,nist_ai_rmf,primary_owner
GOV-01,Governance,"Assign accountable business, system, risk, security, privacy, and operations owners",all AI,"approved RACI or system record",GOVERN 1,executive sponsor
GOV-02,Governance,"Define approved, restricted, and prohibited AI uses plus a time-bounded exception process",all AI,"policy; exception register; approval records",GOVERN 1,AI governance lead
GOV-03,Governance,"Maintain a cross-functional decision forum with defined authority and escalation",medium/high impact,"charter; quorum; minutes; decisions",GOVERN 3,AI governance lead
GOV-04,Governance,"Define role-based AI literacy and competency requirements",all AI,"training matrix; completion and competency evidence",GOVERN 2,HR or learning lead
INV-01,Inventory,"Inventory procured, built, embedded, experimental, and agentic AI with owners and status",all AI,"current inventory; discovery reconciliation",MAP 1,AI governance lead
INV-02,Inventory,"Record component lineage including models, data, prompts, tools, agents, vendors, versions, and dependencies",medium/high impact,"system card; architecture and lineage records",MAP 2,system owner
INV-03,Inventory,"Classify intended use, affected people, impact, autonomy, data sensitivity, reach, and reversibility",all AI,"documented tier with rationale and approver",MAP 1,risk owner
RSK-01,Risk,"Complete an impact and risk assessment before material commitment or production use",medium/high impact,"approved assessment; linked evidence",MAP 1,risk owner
RSK-02,Risk,"Identify reasonably foreseeable misuse, failures, affected stakeholders, and cumulative impacts",medium/high impact,"scenario analysis; stakeholder input; risk register",MAP 5,risk owner
RSK-03,Risk,"Record treatment, residual risk, accountable acceptance, expiry, and review triggers",all AI,"risk register; decision record; exceptions",MANAGE 1,risk owner
REQ-01,Requirements,"Map applicable legal, regulatory, contractual, sector, rights, and internal requirements",all AI,"requirements register; counsel or compliance review",GOVERN 1,legal or compliance
DATA-01,Data,"Establish provenance, authority, consent/licensing, quality, representativeness, and fitness for purpose",systems using data,"data card; source and quality evidence",MAP 2,data owner
DATA-02,Data,"Minimize data and enforce classification, access, retention, deletion, residency, and transfer requirements",systems using data,"data-flow map; access and lifecycle configurations",MAP 2,data or privacy owner
DATA-03,Data,"Protect training, retrieval, context, feedback, and operational data from poisoning and tampering",systems using data,"integrity controls; monitoring; test results",MEASURE 2,security owner
PRI-01,Privacy,"Assess privacy impacts and support notice, rights, choice, correction, and deletion as applicable",personal data,"DPIA/privacy review; notices; rights procedure",MAP 5,privacy owner
SEC-01,Security,"Threat-model the AI system, supply chain, interfaces, data flows, and abuse cases",medium/high impact,"current threat model; remediation record",MAP 5,security owner
SEC-02,Security,"Use least privilege, workload identity, short-lived credentials, separation of duties, and deny-by-default access",systems with protected access,"access matrix; IAM configuration; access review",MANAGE 2,security owner
